gene	G1	G2	G3	G4	N1	N2	N3	N4	N5
FBgn0033657	1	3	0	0	1008	0	0	382	778
FBgn0013756	964	511	884	73	494	314	1670	92	1301
FBgn0085259	3	5	0	0	1	0	1	0	2
FBgn0033658	0	0	0	0	1	0	0	1	1
FBgn0033659	0	9	7	0	0	0	2	2	1
FBgn0260436	0	0	0	0	0	0	0	0	0
FBgn0260437	0	0	0	0	0	0	0	0	1
FBgn0033661	55	1014	294	19	1394	84	554	316	628
FBgn0260932	16	1	1	0	758	14	233	3	0
FBgn0033663	7460	11042	7001	1188	4453	190	2164	1734	3060
FBgn0284245	139977	205341	108288	17918	134563	9238	74337	42800	87951
FBgn0015543	26	10	0	0	38	2	12	13	11
FBgn0260959	71	2	672	1	10	59	398	197	1
FBgn0033665	0	0	0	1	3	42	412	3	494
FBgn0033667	21	16	8	2	1	7	42	7	2
FBgn0265364	0	0	0	0	1	0	0	0	0
FBgn0265371	2	0	0	0	0	0	0	0	1
FBgn0033668	27	14	49	6	53	1	10	15	11
FBgn0033669	230	500	1029	48	2190	148	1103	553	557
FBgn0026573	203	3	653	67	1620	197	1513	891	926
FBgn0050036	1	0	0	0	1	0	0	0	0
FBgn0050037	0	0	1	0	0	0	0	1	2
FBgn0053145	121	243	45	72	2602	39	267	426	282
FBgn0011704	720	1681	62	37	1360	12	79	478	65
FBgn0085260	0	0	1	0	57	4	18	0	1
FBgn0033672	300	60	181	2	195	24	167	108	116
FBgn0033673	3	1	1	0	7	109	743	692	0
FBgn0266858	0	3	1	0	0	0	0	0	0
FBgn0266857	0	0	0	0	0	0	0	0	0
FBgn0004839	9	391	56	59	3341	144	950	1355	2631
FBgn0265365	0	0	0	0	0	0	0	1	0
FBgn0267728	2	2	2	0	111	39	275	140	64
FBgn0259985	240	3	1	0	991	53	591	4	1
FBgn0260012	111	1222	5	1	854	118	773	547	1480
FBgn0033677	3	37	0	21	211	33	310	149	114
FBgn0262820	0	0	0	4	0	5	72	8	75
FBgn0010339	352	1219	681	47	1674	91	773	396	403
FBgn0004463	4	1936	1	1	4	1	2	494	5
FBgn0024732	16	9	312	1	727	0	16	324	307
FBgn0050039	1	2	0	0	0	0	0	12	25
FBgn0265373	1	0	0	0	37	0	0	9	59
FBgn0028407	3	5	89	0	328	67	331	163	284
FBgn0033679	0	0	0	1	3	2	10	8	0
FBgn0033680	7	0	1	1	0	0	0	1	0
FBgn0086677	54	322	236	86	3572	205	981	1489	2366
FBgn0033683	330	299	348	58	0	0	0	0	0
FBgn0026176	0	0	0	0	0	0	0	0	0
FBgn0027495	266	1089	720	0	1186	137	998	480	519
FBgn0033685	1	2	4	0	0	0	0	0	200
FBgn0033686	0	38	38	0	420	5	38	190	111
FBgn0027504	487	22	83	131	2508	202	952	825	235
FBgn0033687	0	16	71	0	130	5	23	11	153
FBgn0033688	742	437	181	74	1597	76	725	910	1133
FBgn0262300	0	0	0	0	0	0	0	0	0
FBgn0263485	4	19	0	0	0	0	0	0	0
FBgn0040759	0	0	66	9	7	0	0	1	0
FBgn0085261	3339	3376	2373	283	91	31	172	91	81
FBgn0014184	12772	24506	8667	1604	8548	538	4838	2998	3087
FBgn0023167	17	12	1	0	5	1	1	0	0
FBgn0267913	1	27	0	0	1	12	57	1	0
FBgn0286007	0	0	0	0	0	0	0	0	0
FBgn0286006	0	0	0	0	0	0	0	0	0
FBgn0010621	2092	1098	1168	250	4085	438	3504	1967	4303
FBgn0033690	0	0	0	0	0	0	0	62	0
FBgn0266802	26	0	0	0	0	0	0	0	91
FBgn0033691	153	146	92	13	78	9	83	57	113
FBgn0033692	0	79	119	11	0	0	0	214	115
FBgn0053964	0	0	0	0	0	0	0	0	0
FBgn0033693	0	0	0	0	0	0	0	0	0
FBgn0000426	437	541	262	23	1013	93	550	337	713
FBgn0025454	0	0	17	0	1	1	14	4	0
FBgn0033696	0	0	0	0	0	5	45	0	0
FBgn0033697	0	1	0	0	1	3	37	91	0
FBgn0033698	216	62	13	6	975	34	347	728	304
FBgn0033699	3063	4652	2029	498	4812	191	2282	1133	1808
FBgn0083989	0	0	0	0	0	0	0	0	5
FBgn0083988	0	0	0	0	0	0	13	0	0
FBgn0266814	0	0	0	0	0	0	0	0	0
FBgn0020377	0	0	0	1	0	0	0	0	0
FBgn0033701	0	0	0	0	1	0	0	1	0
FBgn0033702	0	0	0	0	0	0	0	0	0
FBgn0265372	1	1	2	29	0	0	1	3	1
FBgn0033703	0	0	0	0	0	0	0	0	0
FBgn0263020	0	0	0	0	0	0	0	12	0
FBgn0263021	0	0	0	0	0	0	0	0	0
FBgn0262889	0	0	0	0	0	0	4	0	0
FBgn0265374	0	0	0	0	0	0	0	0	0
FBgn0033705	0	0	0	0	0	0	0	0	0
FBgn0033706	0	0	0	0	273	0	0	0	0
FBgn0000253	4790	4746	2662	531	17601	1689	8172	9066	14492
FBgn0264501	0	0	0	0	0	0	0	0	37
FBgn0261611	0	0	0	2	17	16	77	67	0
FBgn0266809	0	0	0	0	0	0	0	2	0
FBgn0033708	0	0	0	0	0	3	11	0	0
FBgn0061197	0	0	0	0	0	3	14	0	0
FBgn0033710	699	21	612	252	0	0	0	0	1
FBgn0050203	2607	3187	3706	122	1	1	1	0	0
FBgn0050046	0	0	0	0	0	0	0	1	0
FBgn0265375	0	0	0	0	0	0	0	0	0
FBgn0033712	0	0	244	0	0	18	199	196	0
FBgn0033713	13	4	170	4	124	4	24	96	562
FBgn0264560	573	1045	397	7	1166	36	453	580	710
FBgn0050249	0	0	0	0	0	0	0	0	0
FBgn0050250	0	0	0	0	0	0	0	0	0
FBgn0050251	0	0	0	0	0	0	0	0	0
FBgn0033715	150	748	99	28	699	39	229	110	151
FBgn0011878	0	0	0	3	0	0	0	0	0
FBgn0011877	0	16	0	0	0	0	0	0	0
FBgn0054021	0	101	0	8	0	0	0	0	3
FBgn0033716	26	64	4	1	521	56	267	63	750
FBgn0033717	8422	7868	11433	1153	3	34	614	621	6
FBgn0266111	1	1	0	1	0	38	290	169	24
FBgn0050047	0	0	1	0	0	0	0	0	0
FBgn0050049	0	0	61	39	0	0	0	0	1
FBgn0050043	0	1	20	0	92	0	0	0	0
FBgn0053013	0	0	5	0	0	0	0	0	0
FBgn0053012	46	0	0	0	0	0	0	0	0
FBgn0033720	0	0	0	0	0	0	0	1	2
FBgn0033721	0	0	0	0	0	0	0	0	0
FBgn0050045	0	0	0	0	0	0	0	0	0
FBgn0050042	0	0	0	0	0	0	0	0	0
FBgn0033723	0	0	0	0	0	0	0	0	0
FBgn0033724	9	133	68	0	0	0	0	0	0
FBgn0033725	1419	379	0	28	6	1	8	16	7
FBgn0033726	0	0	0	0	388	7	58	2	0
FBgn0033727	0	0	0	0	0	0	0	1	0
FBgn0050048	0	0	0	0	1	7	90	0	1
FBgn0033728	0	123	0	0	0	0	6	1	73
FBgn0033729	0	0	0	16	2	2	2	11	1
FBgn0033730	0	0	0	0	0	0	0	0	0
FBgn0050050	0	0	0	0	0	0	0	0	0
FBgn0053626	0	0	0	0	0	0	0	0	0
FBgn0053627	0	0	0	0	0	0	0	0	0
FBgn0033731	0	0	0	0	3	0	1	7	0
FBgn0033732	0	0	0	0	0	0	0	0	0
FBgn0261853	0	0	0	0	0	0	0	0	0
FBgn0267691	0	0	1	0	0	0	0	0	0
FBgn0033733	0	0	3	0	0	0	0	0	0
FBgn0033734	0	295	133	10	484	0	0	2	0
FBgn0033735	137	1682	761	19	0	0	0	1	0
FBgn0033736	0	0	0	0	0	0	0	0	0
FBgn0033737	285	727	70	1	118	9	66	466	3
FBgn0262840	0	0	0	0	0	0	0	17	0
FBgn0033738	5	9	110	0	229	111	755	1451	417
FBgn0050051	0	3	81	0	1	4	89	2	203
FBgn0033739	0	38	0	0	64	8	16	71	647
FBgn0050334	0	0	0	0	0	1	0	0	0
FBgn0010238	1337	1760	3819	183	2233	99	735	955	1407
FBgn0033740	0	0	0	37	0	0	1	163	0
FBgn0033741	607	123	5	10	202	40	254	482	410
FBgn0033742	0	448	0	1	0	0	0	0	0
FBgn0033744	131	414	0	110	587	6	81	0	39
FBgn0085263	0	0	0	0	4	1	0	0	0
FBgn0045063	1164	0	1377	11	425	112	1048	338	2
FBgn0050044	0	5	0	0	2	1	0	36	2
FBgn0033748	0	0	0	0	6	0	0	0	0
FBgn0033749	1	13	0	0	69	3	35	0	2
FBgn0033750	538	0	0	0	0	1	0	73	0
FBgn0033751	372	663	454	28	1375	107	1479	443	655
FBgn0033752	2	0	238	28	0	1	3	0	341
FBgn0053632	0	0	0	0	0	0	0	0	112
FBgn0011592	17	13	0	29	1940	142	1086	1325	3
FBgn0053752	0	0	0	0	0	0	0	0	44
FBgn0050056	0	0	0	0	0	0	0	0	0
FBgn0053775	0	0	0	0	0	0	0	0	0
FBgn0033753	0	2	1	0	0	0	1	0	0
FBgn0033754	120	197	127	0	397	1	9	36	1
FBgn0003527	0	0	0	0	0	0	0	0	1
FBgn0033755	48	1829	117	86	3545	50	302	4	595
FBgn0022764	940	181	175	179	1380	65	517	360	647
FBgn0050055	1	70	1	19	319	62	302	1	294
FBgn0266817	0	0	0	0	0	0	0	0	0
FBgn0027356	0	865	0	84	274	5	74	58	1
FBgn0264510	0	0	0	31	0	29	117	0	0
FBgn0004435	182	1366	767	119	1877	119	482	1757	2140
FBgn0266487	0	0	0	0	0	0	0	0	0
FBgn0050054	26	0	46	0	75	1	18	18	85
FBgn0033756	0	0	0	0	0	9	54	7	5
FBgn0033757	4	25	524	0	319	0	4	8	222
FBgn0053792	0	0	0	0	0	0	1	0	0
FBgn0028683	84	293	50	12	234	18	228	77	164
FBgn0061360	0	0	0	0	0	0	0	0	0
FBgn0061359	0	0	0	0	0	0	0	0	0
FBgn0011604	5	2391	495	6	2899	98	528	322	2457
FBgn0033760	4	2	8	0	0	0	0	2	1
FBgn0033761	299	0	62	17	4	32	187	57	211
FBgn0033762	266	1192	323	57	869	39	356	474	442
FBgn0033763	0	9	0	0	0	0	0	0	0
FBgn0261673	212	3322	1200	76	138	53	275	2	314
FBgn0261625	1800	467	2165	416	3376	2	10	103	770
FBgn0033766	0	1	8	1	332	2	1	26	19
FBgn0033767	0	3	1	11	461	52	632	469	509
FBgn0050053	0	0	0	0	0	27	214	0	61
FBgn0050052	0	1	0	0	2	0	0	0	0
FBgn0033769	0	0	145	21	893	3	70	1	0
FBgn0033770	0	0	0	13	0	0	0	0	0
FBgn0261545	79	272	8	12	2553	44	291	130	14
FBgn0033773	0	0	0	0	216	0	0	0	0
FBgn0026619	332	216	0	18	627	4	103	23	0
FBgn0026741	13	193	91	1	231	22	179	70	273
FBgn0011227	225	467	248	28	232	13	203	85	137
FBgn0020930	0	51	387	9	697	63	737	497	2
FBgn0086904	2445	674	1397	138	2802	281	2077	1231	1683
FBgn0033774	1	0	0	0	0	0	0	0	0
FBgn0266804	1	0	0	0	0	0	0	0	0
FBgn0003326	4	3	1	0	2530	165	1175	597	819
FBgn0266630	2	0	18	21	3	117	702	63	361
FBgn0040755	0	0	0	0	0	0	0	0	0
FBgn0265646	0	0	0	0	0	6	63	0	0
FBgn0033775	49	0	270	0	4	4	23	7	1
FBgn0028963	0	0	0	0	0	0	0	0	0
FBgn0250842	1	1	0	0	0	0	0	0	0
FBgn0050488	0	0	0	0	0	0	0	0	0
FBgn0050486	0	0	0	0	0	0	0	0	0
FBgn0267024	0	0	0	0	0	0	0	8	0
FBgn0033777	286	1611	7	103	463	0	13	364	431
FBgn0266633	6	121	81	1	135	9	30	0	54
FBgn0000181	3416	2985	2692	284	6300	468	2322	1996	3440
FBgn0263446	0	0	0	0	0	5	38	0	0
FBgn0033778	0	0	0	0	0	0	0	0	0
FBgn0025692	0	0	0	0	0	0	0	0	0
FBgn0263445	0	0	0	0	0	1	1	0	0
FBgn0002069	75	384	44	4	582	12	157	163	295
FBgn0013305	689	868	1171	138	1739	129	724	267	82
FBgn0266634	0	0	0	0	18	0	2	0	0
FBgn0003975	0	0	95	9	2	0	0	82	47
FBgn0267957	256	0	0	0	1	0	0	0	0
FBgn0285940	0	0	0	0	0	0	0	5	0
FBgn0285941	0	0	0	0	0	0	0	0	0
FBgn0265654	0	0	0	0	0	0	1	0	0
FBgn0010488	2078	2826	944	172	5023	633	3740	825	796
FBgn0033781	61	0	56	25	0	0	11	0	0
FBgn0033782	0	0	0	4	49	0	0	0	0
FBgn0033783	663	604	894	9	1675	1	5	326	624
FBgn0033784	631	4	1	0	754	59	333	280	284
FBgn0033785	0	0	0	0	0	0	0	0	0
FBgn0050487	0	0	0	0	0	0	0	0	0
FBgn0004512	873	84	1132	66	0	0	0	0	0
FBgn0265186	0	0	0	0	0	0	0	0	1
FBgn0265185	0	0	0	0	0	0	0	0	0
FBgn0033787	0	0	0	0	0	0	0	0	0
FBgn0005624	89	130	104	51	873	142	915	372	1391
FBgn0265427	0	0	0	0	0	0	0	2	0
FBgn0053798	1	103	0	0	0	13	44	47	1
FBgn0265623	192	540	342	31	1731	45	297	226	1349
FBgn0033788	0	7	0	0	0	0	0	1	1
FBgn0033789	0	0	0	0	0	0	0	0	0
FBgn0033791	87	0	27	12	1888	91	623	320	543
FBgn0265429	0	0	0	0	0	0	0	0	0
FBgn0033792	0	0	0	0	17	0	13	1	7
FBgn0033793	1	0	0	0	746	41	643	245	227
FBgn0033794	0	0	0	0	0	0	0	0	0
FBgn0259876	0	1	150	7	2786	89	564	7	263
FBgn0263998	12	200	137	133	4377	263	1530	787	1116
FBgn0020370	586	131	1327	268	2204	153	1179	1012	7
FBgn0085468	182	216	89	19	99	8	58	13	183
FBgn0020391	0	1	26	0	1700	212	1599	868	526
FBgn0033798	0	0	0	0	0	0	0	0	0
FBgn0033799	198	398	896	107	64	4	36	0	94
FBgn0086532	0	0	0	0	0	0	0	0	0
FBgn0266635	0	1	0	0	0	0	0	0	0
FBgn0053138	1260	7735	5630	767	1551	35	211	826	1429
FBgn0053137	0	0	11	9	361	0	0	130	1
FBgn0033802	0	24	0	5	259	23	190	237	336
FBgn0053182	1	1	48	0	667	42	312	145	393
FBgn0028991	0	0	0	0	0	0	0	0	0
FBgn0027079	61	2	13	87	546	4	18	103	133
FBgn0005654	0	0	0	0	0	0	0	0	0
FBgn0085344	0	0	0	0	0	0	0	0	0
FBgn0033806	0	0	0	0	38	0	1	153	7
FBgn0085341	0	0	0	0	0	0	0	3	0
FBgn0050058	0	0	0	0	0	0	0	0	0
FBgn0085264	0	0	0	0	0	0	0	0	0
FBgn0033807	0	0	0	0	52	0	0	43	1
FBgn0033808	0	304	22	0	292	42	235	62	1
FBgn0033809	0	0	0	0	1	0	0	245	1
FBgn0033810	252	183	1	24	146	27	186	136	169
FBgn0040754	116	144	201	17	211	20	73	122	128
FBgn0043010	995	181	101	0	293	74	668	31	206
FBgn0011763	967	1089	592	15	1710	39	196	922	1851
FBgn0264539	0	0	0	0	0	0	0	0	0
FBgn0033812	1	1	358	20	11	31	281	10	179
FBgn0033813	0	0	0	25	2	23	263	1	2
FBgn0033814	37	1425	911	65	30	110	926	100	1015
FBgn0033815	0	0	1	0	3	3	14	196	179
FBgn0033816	19	1437	84	54	765	77	755	221	6
FBgn0033817	0	0	0	0	0	0	0	0	0
FBgn0266816	0	0	0	0	0	0	0	0	0
FBgn0002789	0	0	0	0	0	0	0	2	0
FBgn0033818	0	0	0	0	0	0	0	0	7
FBgn0033819	0	0	0	0	0	0	0	0	316
FBgn0265443	0	0	0	4	0	0	0	0	1
FBgn0033820	0	0	0	4	0	0	0	2	1
FBgn0033821	19	0	0	3	3	0	0	3	2
FBgn0259219	2	13	4	0	0	0	0	1	0
FBgn0052843	247	376	705	0	0	0	1	121	636
FBgn0033826	0	0	0	0	0	0	0	0	0
FBgn0033827	0	1	0	0	0	0	0	0	0
FBgn0265104	8	1	77	8	0	18	60	1	4
FBgn0262391	0	0	0	0	0	0	0	0	0
FBgn0033828	0	0	0	0	0	0	0	0	0
FBgn0266851	1	34	2	9	1	16	121	70	97
FBgn0033830	0	0	0	0	0	0	0	0	0
FBgn0263774	32	0	0	0	0	0	0	0	0
FBgn0041579	0	0	0	0	0	0	0	0	0
FBgn0033834	0	0	0	0	0	0	0	0	0
FBgn0283462	0	0	0	0	0	0	0	0	0
FBgn0033836	247	167	386	10	0	0	0	22	48
FBgn0267026	1	0	0	0	0	0	0	0	0
FBgn0053470	0	0	0	0	0	0	0	0	0
FBgn0260475	5	1	49	1	0	0	0	0	0
FBgn0259221	118	197	232	35	927	0	5	285	799
FBgn0265272	0	0	0	0	0	0	0	0	0
FBgn0011881	0	0	0	0	0	0	0	0	0
FBgn0011909	0	0	0	0	0	0	0	0	0
FBgn0011882	0	0	0	0	0	0	0	0	0
FBgn0011883	0	0	0	0	0	0	0	0	0
FBgn0011884	0	0	0	0	0	0	0	0	0
FBgn0011885	0	0	0	0	0	0	0	0	0
FBgn0011910	0	0	0	0	0	0	0	0	0
FBgn0050065	0	0	0	0	0	0	0	0	0
FBgn0019928	0	0	0	0	0	0	0	0	1
FBgn0050509	0	0	8	0	0	0	0	0	0
FBgn0013765	815	3	512	111	1946	58	446	150	909
FBgn0050062	0	0	0	0	0	0	0	0	0
FBgn0086757	9	0	625	0	1	95	467	245	23
FBgn0000119	332	1843	74	181	97	135	1158	191	589
FBgn0262821	0	0	83	8	0	2	7	0	0
FBgn0033842	97	3	238	67	816	0	18	3	1111
FBgn0040477	0	1	0	0	89	0	0	0	0
FBgn0033844	1853	1667	1808	190	875	75	453	749	862
FBgn0004638	883	1034	356	31	1057	162	904	728	1053
FBgn0033845	13	2	1	0	11	2	25	2	412
FBgn0033846	1	2	63	0	1	2	1	359	0
FBgn0024556	789	2632	1656	120	648	227	1397	900	1079
FBgn0260964	156	92	5	70	12172	926	5924	4786	6898
FBgn0033848	0	0	0	0	0	0	0	0	0
FBgn0033850	0	0	0	0	0	0	0	0	0
FBgn0033851	0	0	0	0	0	0	0	70	17
FBgn0011896	0	0	0	0	0	0	0	0	0
FBgn0033853	686	6	9	34	636	4	44	395	226
FBgn0053156	0	26	325	200	747	78	582	13	6
FBgn0014877	62	544	509	55	199	13	84	191	235
FBgn0033855	0	1	0	0	5	2	0	12	8
FBgn0083006	0	0	0	0	66	2	31	20	79
FBgn0263472	0	0	0	0	44	2	33	17	41
FBgn0263459	0	1	0	0	70	1	37	20	61
FBgn0033856	0	0	0	0	0	0	0	0	0
FBgn0261989	0	0	0	0	0	0	0	1	0
FBgn0261990	0	0	0	0	1	0	0	0	1
FBgn0265496	0	1	0	0	0	0	0	0	0
FBgn0265497	0	1	0	0	0	0	0	0	1
FBgn0027581	0	0	0	0	2	3	6	2	30
FBgn0266489	0	0	0	0	0	0	0	0	0
FBgn0033859	271	19	36	0	671	1	0	273	404
FBgn0033860	0	0	0	0	0	0	0	0	0
FBgn0262360	0	0	0	0	0	0	0	0	0
FBgn0085265	0	0	0	0	0	0	0	0	0
FBgn0033861	0	0	0	0	0	0	0	0	0
FBgn0000633	40	1	68	4	1546	102	1043	151	536
FBgn0033862	0	1	0	0	328	1	0	0	1
FBgn0033863	1	35	138	0	312	1	8	129	58
FBgn0033864	0	0	0	0	1	42	236	220	111
FBgn0266391	0	0	0	0	0	0	0	0	0
FBgn0266392	0	0	0	0	0	0	0	0	0
FBgn0033865	0	0	0	0	387	9	103	5	0
FBgn0033866	0	2	0	0	1	18	191	3	0
FBgn0033867	0	5	0	0	165	3	27	1	0
FBgn0033868	0	0	0	1	0	0	0	0	3
FBgn0264358	0	0	0	0	68	0	0	0	0
FBgn0264359	0	0	0	0	0	0	0	0	0
FBgn0033869	0	0	0	0	0	0	0	0	0
FBgn0261041	3	53	4	0	2796	395	2444	1549	1829
FBgn0000662	347	1730	571	102	663	61	460	374	919
FBgn0033871	25	0	0	0	52	5	55	0	0
FBgn0033872	1286	262	815	116	6794	526	3474	2999	4381
FBgn0033873	0	0	0	0	304	2	16	0	0
FBgn0033874	0	0	2	0	0	0	0	1	51
FBgn0033875	11909	17950	7278	761	145	0	2	17	0
FBgn0033876	0	3	1206	0	3176	126	908	1018	2859
FBgn0050484	0	0	0	0	0	0	0	1	0
FBgn0050485	0	0	0	0	0	0	0	0	0
FBgn0283553	0	0	0	0	0	0	0	0	0
FBgn0033879	1477	2768	2812	222	6	0	8	141	1
FBgn0033880	0	0	0	0	0	0	1	0	0
FBgn0265498	0	0	0	0	0	0	0	0	0
FBgn0086356	469	498	4	1	877	157	749	353	759
FBgn0263697	349	0	372	0	396	5	39	119	831
FBgn0033883	0	0	0	23	669	17	142	247	545
FBgn0033884	1	82	3	0	1	4	32	7	129
FBgn0013733	8260	8392	7794	982	4714	361	2938	1957	1456
FBgn0033885	110	0	0	0	0	0	1	0	1
FBgn0262739	2034	2636	1763	169	6995	800	5432	4035	7449
FBgn0050481	0	0	0	0	0	0	0	0	0
FBgn0053155	1	0	5	0	52	3	39	2	44
FBgn0033886	1193	793	298	40	394	18	230	238	498
FBgn0013770	2115	4753	1594	259	2797	246	1629	568	1110
FBgn0261975	1836	1873	1371	164	255	42	188	86	76
FBgn0275436	0	0	51	6	20	18	205	19	611
FBgn0033887	0	0	0	0	0	0	0	0	0
FBgn0033888	0	0	0	0	0	0	0	0	0
FBgn0033889	42	46	99	37	15	0	0	13	2
FBgn0033890	0	0	0	0	219	0	0	344	0
FBgn0033891	64	1	2	0	2	8	68	29	287
FBgn0020620	192	317	191	13	705	294	1477	979	1275
FBgn0002643	76	55	109	16	571	49	363	286	921
FBgn0263539	0	0	0	0	0	0	0	0	0
FBgn0033893	0	0	0	0	0	0	0	0	0
FBgn0040752	857	909	555	406	1187	63	327	163	811
FBgn0259183	80	0	0	0	62	0	0	0	0
FBgn0259184	45	2	0	0	0	0	0	0	0
FBgn0262215	0	0	0	0	0	0	0	0	0
FBgn0033897	4	4	38	110	1307	31	189	352	1285
FBgn0086895	6	1399	3	15	191	108	670	250	1
FBgn0040751	34	32	23	4	43	1	1	1	0
FBgn0033899	68	0	0	0	7	15	188	0	317
FBgn0033900	0	5	0	0	9	10	50	0	0
FBgn0033901	1646	1798	793	60	2057	86	597	235	572
FBgn0033902	1501	6426	2612	535	3871	119	1115	1405	2728
FBgn0033903	0	0	183	0	0	6	84	0	0
FBgn0033904	0	0	0	0	0	0	0	0	0
FBgn0033905	1	32	0	0	0	0	0	0	1
FBgn0265499	0	0	3	0	1	0	4	0	0
FBgn0033906	1228	1012	1080	108	1895	104	769	252	1082
FBgn0033907	31	207	91	10	101	30	177	50	180
FBgn0000289	830	863	1884	249	3042	555	4318	2068	4992
FBgn0050069	2834	3945	3622	738	277	95	443	12	253
FBgn0033911	15	14	14	2	2294	59	397	188	111
FBgn0005613	0	1	0	0	0	2	1	0	4
FBgn0033912	5617	7963	4092	563	3738	274	2789	1265	2642
FBgn0262407	0	0	0	0	0	0	0	0	0
FBgn0033913	43	5	101	4	3	1	3	0	0
FBgn0261276	261	42	1023	177	3974	235	1216	437	890
FBgn0262427	0	0	0	0	0	0	0	0	0
FBgn0033915	75	77	515	26	886	90	422	726	927
FBgn0033916	16	0	0	0	481	50	184	19	15
FBgn0033917	0	3	0	0	1	0	3	2	0
FBgn0010241	0	2	0	0	0	1	2	3	5
FBgn0001220	667	2317	466	88	1875	230	2414	999	966
FBgn0033918	197	877	547	40	61	48	309	40	666
FBgn0027538	256	220	46	0	1	4	32	198	0
FBgn0033919	509	16	2404	241	243	40	394	10	21
FBgn0261270	106	2276	431	105	2427	168	1470	947	1232
FBgn0261269	0	0	5	0	3	0	1	3	430
FBgn0263397	252	2042	1610	233	4711	254	1304	2274	2898
FBgn0033921	0	0	0	0	0	0	0	0	0
FBgn0085408	112	65	547	48	8	35	163	36	77
FBgn0033924	54	2	0	0	1417	3	3	252	345
FBgn0033925	0	850	0	34	716	5	47	82	144
FBgn0033926	3000	2117	1461	350	246	15	101	41	161
FBgn0033927	0	0	0	0	0	0	0	0	0
FBgn0033928	0	0	0	3	1	1	1	66	1
FBgn0033929	140	42	3	0	408	92	1091	697	324
FBgn0085213	0	0	0	0	0	0	0	0	0
FBgn0085471	0	0	0	0	0	1	0	0	0
FBgn0085472	0	0	0	0	0	0	0	0	0
FBgn0085473	0	0	0	0	0	0	0	0	0
FBgn0050067	0	0	0	0	0	0	0	0	0
FBgn0050072	0	0	0	0	0	0	0	0	0
FBgn0050073	0	0	0	0	0	0	0	0	0
FBgn0050074	0	0	0	0	0	0	0	0	0
FBgn0085214	0	0	0	0	1	0	0	0	0
FBgn0033931	0	0	0	0	3	1	1	3	2
FBgn0050075	0	0	0	0	0	0	0	0	0
FBgn0033932	1	1	1	1	468	63	466	8	4
FBgn0033933	0	0	0	0	0	0	0	0	0
FBgn0265500	0	0	0	1	0	0	0	0	0
FBgn0033934	118	377	78	109	1945	90	849	1110	1658
FBgn0033935	0	143	13	0	1	1	1	125	155
FBgn0033936	27	91	0	0	0	0	0	0	0
FBgn0013725	49	320	195	15	544	60	499	89	493
FBgn0266815	0	0	0	0	1	0	1	3	114
FBgn0284250	0	1	2	2	53	35	145	28	2
FBgn0265655	0	0	54	0	0	0	0	12	26
FBgn0267824	1057	5	323	3	112	50	302	749	988
FBgn0024698	59	220	433	53	113	22	101	0	294
FBgn0261823	1	18	0	1	88	77	556	18	379
FBgn0033942	0	0	146	21	0	0	0	0	14
FBgn0050197	254	150	448	42	0	0	0	0	24
FBgn0265974	639	243	594	45	3514	142	1199	304	1008
FBgn0050076	0	0	1	0	0	0	0	0	0
FBgn0264540	0	0	0	0	0	0	0	0	0
FBgn0010397	22	534	188	27	119	8	6	85	11
FBgn0033943	0	0	0	0	3	1	1	1	1
FBgn0019938	1	75	6	1	1611	158	1092	10	301
FBgn0050077	27	248	0	0	587	19	117	50	180
FBgn0003742	4	1	29	0	1253	72	412	197	601
FBgn0263487	0	0	0	0	0	1	0	0	9
FBgn0033945	128	0	0	3	0	0	1	1	0
FBgn0053469	0	0	0	0	0	0	0	0	0
FBgn0053468	0	0	115	0	0	0	0	0	0
FBgn0026427	847	1375	51	232	1416	76	438	655	977
FBgn0010638	835	1188	709	99	679	56	272	309	872
FBgn0033948	195	0	0	21	17	1	0	3	0
FBgn0083123	469	220	199	14	388	26	186	180	606
FBgn0082951	0	0	0	0	0	0	1	0	0
FBgn0082940	0	0	0	0	0	0	2	0	0
FBgn0082939	0	1	1	0	81	5	35	25	62
FBgn0082926	0	0	0	0	0	0	0	0	0
FBgn0082950	0	0	0	0	0	0	0	0	1
FBgn0082952	0	0	0	0	0	0	0	0	0
FBgn0082941	0	0	0	0	0	0	0	0	0
FBgn0082931	0	0	0	0	0	0	0	0	0
FBgn0082930	0	0	0	0	0	0	2	0	0
FBgn0082929	0	0	0	0	0	0	0	0	8
FBgn0082919	0	0	0	0	0	0	0	0	0
FBgn0033949	0	0	0	0	0	0	0	0	0
FBgn0262881	0	0	0	0	0	0	0	0	0
FBgn0261632	0	0	66	0	1	0	0	0	0
FBgn0033950	0	0	0	0	1	0	0	0	0
FBgn0033951	57	353	125	41	714	57	335	264	238
FBgn0033952	0	0	0	0	0	0	0	6	0
FBgn0033953	0	0	0	0	0	0	0	0	0
FBgn0033954	0	0	0	0	0	0	0	0	0
FBgn0033955	0	0	0	0	14	1	1	91	1
FBgn0020269	13	122	101	5	1108	93	563	567	622
FBgn0050479	0	0	0	2	0	0	0	0	0
FBgn0050480	0	6	0	1	0	0	0	0	1
FBgn0263376	0	1	0	0	0	0	0	6	0
FBgn0033958	2	3	64	3	1299	82	526	1144	965
FBgn0010388	0	0	0	0	0	0	0	1	0
FBgn0012042	0	0	0	0	0	5	157	45	0
FBgn0041581	0	0	0	0	0	0	8	0	0
FBgn0028689	2115	2804	1026	282	3189	107	895	792	3463
FBgn0050476	144	432	0	0	34	0	0	86	86
